,mz,rt,lcms mode
LN208,133.0147859,2.28325,-1
LN223,397.0964712,2.329033333,-1
LN222,96.96269421,2.329033333,-1
LN229,245.0123245,2.3749,-1
LN227,160.0624477,2.3749,-1
LN226,104.0081166,2.3749,-1
LN225,145.0151448,2.3749,-1
LN224,103.0043972,2.3749,-1
LN231,347.0255613,2.420566667,-1
LN232,317.0120182,2.420566667,-1
LN230,239.0778049,2.420566667,-1
LN238,391.0326228,2.46635,-1
LN240,96.95923794,2.46635,-1
LN242,424.9074988,2.46635,-1
LN236,333.0277395,2.46635,-1
LN235,349.060077,2.46635,-1
LN234,191.0203827,2.46635,-1
LN246,424.8982111,2.5121,-1
LN245,421.994452,2.5121,-1
LN244,239.0798495,2.5121,-1
LN243,111.0093972,2.5121,-1
LN249,232.9911714,2.557983333,-1
LN248,274.9719993,2.557983333,-1
LN247,217.0167882,2.557983333,-1
LN254,134.0181537,2.649433333,-1
LN256,275.0216263,2.695183333,-1
LN261,216.9692622,2.695183333,-1
LN259,362.9884146,2.695183333,-1
LN257,347.0227831,2.695183333,-1
LN258,259.0079526,2.695183333,-1
LN262,294.9956086,2.741066667,-1
LN264,274.9741666,2.786733333,-1
LN263,173.0102484,2.786733333,-1
LN268,420.9904118,2.832516667,-1
LN269,136.9410778,2.832516667,-1
LN270,317.0146444,2.832516667,-1
LN266,232.9619921,2.832516667,-1
LN283,297.1193871,3.24445,-1
LN282,313.114818,3.24445,-1
LN281,337.0782861,3.24445,-1
LN280,134.0479438,3.24445,-1
LN288,296.956236,3.381766667,-1
LN287,147.0307611,3.381766667,-1
LN291,326.9362711,3.473416667,-1
LN290,160.0624554,3.473416667,-1
LN293,280.9908989,3.519083333,-1
LN292,239.0793797,3.519083333,-1
LN295,259.0071867,3.564866667,-1
LN294,274.9725524,3.564866667,-1
LN305,85.0302267,3.610633333,-1
LN303,391.0346059,3.610633333,-1
LN304,294.9934673,3.610633333,-1
LN302,217.0167362,3.610633333,-1
LN300,405.0279498,3.610633333,-1
LN301,111.0095342,3.610633333,-1
LN299,191.0203814,3.610633333,-1
LN307,458.9434578,3.656516667,-1
LN309,283.1062954,3.88525,-1
LN312,128.0365105,4.1599,-1
LN316,253.0935077,4.251433333,-1
LN318,288.936025,4.38885,-1
LN320,239.0798128,4.571933333,-1
LN323,96.9590228,4.755033333,-1
LN322,243.0626582,4.755033333,-1
LN321,117.0201226,4.755033333,-1
LN324,205.0361901,4.8007,-1
LN326,200.9727198,4.938116667,-1
LN328,142.0523033,4.983783333,-1
LN329,313.1130518,4.983783333,-1
